date,avg_temp,snowfall,rainfall,avg_wind_speed
1997-01-01,35.0,0.0,0.02,7.1
1997-01-02,40.0,0.0,0.0,5.5
1997-01-03,39.0,0.0,0.0,6.0
1997-01-04,49.0,0.0,0.42,0.6
1997-01-05,27.0,0.0,0.0,18.6
1997-01-06,16.0,0.0,0.0,13.9
1997-01-07,14.0,0.0,0.0,9.0
1997-01-08,19.0,0.0,0.0,6.1
1997-01-09,28.0,0.0,0.16,7.1
1997-01-10,22.0,0.0,0.0,11.8
1997-01-11,9.0,0.0,0.0,12.8
1997-01-12,3.0,0.0,0.0,12.7
1997-01-13,9.0,0.0,0.0,8.7
1997-01-14,13.0,0.0,0.0,6.7
1997-01-15,21.0,0.0,0.15,8.8
1997-01-16,10.0,0.0,0.0,18.3
1997-01-17,-1.0,0.0,0.0,14.6
1997-01-18,3.0,0.0,0.0,8.5
1997-01-19,16.0,0.0,0.0,8.9
1997-01-20,31.0,0.0,0.0,3.7
1997-01-21,38.0,0.0,0.07,12.9
1997-01-22,34.0,0.0,0.0,14.2
1997-01-23,23.0,0.0,0.0,4.0
1997-01-24,30.0,0.0,0.35,5.5
1997-01-25,16.0,0.0,0.0,14.6
1997-01-26,13.0,0.0,0.08,1.0
1997-01-27,16.0,0.0,0.01,9.1
1997-01-28,3.0,0.0,0.0,12.5
1997-01-29,14.0,0.0,0.0,4.1
1997-01-30,17.0,0.0,0.0,8.3
1997-01-31,32.0,0.0,0.0,9.0
1997-02-01,32.0,0.0,0.0,3.2
1997-02-02,37.0,0.0,0.0,6.2
1997-02-03,32.0,0.0,0.0,9.5
1997-02-04,33.0,0.0,0.49,8.0
1997-02-05,30.0,0.0,0.0,10.1
1997-02-06,25.0,0.0,0.0,9.0
1997-02-07,25.0,0.0,0.01,3.6
1997-02-08,23.0,0.0,0.0,9.8
1997-02-09,22.0,0.0,0.0,4.9
1997-02-10,25.0,0.0,0.0,7.7
1997-02-11,25.0,0.0,0.04,9.7
1997-02-12,18.0,0.0,0.0,8.3
1997-02-13,21.0,0.0,0.0,10.1
1997-02-14,26.0,0.0,0.0,8.5
1997-02-15,20.0,0.0,0.0,6.0
1997-02-16,20.0,0.0,0.09,9.1
1997-02-17,31.0,0.0,0.0,14.9
1997-02-18,48.0,0.0,0.0,20.8
1997-02-19,38.0,0.0,0.0,11.5
1997-02-20,35.0,0.0,0.33,6.4
1997-02-21,33.0,0.0,1.02,19.2
1997-02-22,24.0,0.0,0.0,8.1
1997-02-23,25.0,0.0,0.0,11.7
1997-02-24,18.0,0.0,0.0,7.8
1997-02-25,25.0,0.0,0.0,14.5
1997-02-26,37.0,0.0,0.14,6.4
1997-02-27,32.0,0.0,0.25,5.7
1997-02-28,34.0,0.0,0.0,9.6
1997-03-01,42.0,0.0,0.09,5.9
1997-03-02,33.0,0.0,0.0,8.3
1997-03-03,32.0,0.0,0.0,9.8
1997-03-04,36.0,0.0,0.0,4.7
1997-03-05,32.0,0.0,0.01,8.1
1997-03-06,24.0,0.0,0.0,14.2
1997-03-07,27.0,0.0,0.0,4.7
1997-03-08,34.0,0.0,0.0,4.8
1997-03-09,37.0,0.0,0.18,6.7
1997-03-10,44.0,0.0,0.0,10.3
1997-03-11,34.0,0.0,0.0,6.0
1997-03-12,32.0,0.0,0.0,9.1
1997-03-13,32.0,0.0,0.06,18.4
1997-03-14,25.0,0.0,0.12,11.1
1997-03-15,17.0,0.0,0.0,12.1
1997-03-16,24.0,0.0,0.0,8.8
1997-03-17,44.0,0.0,0.0,3.7
1997-03-18,32.0,0.0,0.0,15.4
1997-03-19,34.0,0.0,0.0,6.2
1997-03-20,41.0,0.0,0.0,2.6
1997-03-21,50.0,0.0,0.0,5.6
1997-03-22,36.0,0.0,0.0,2.1
1997-03-23,31.0,0.0,0.0,9.6
1997-03-24,31.0,0.0,0.11,15.1
1997-03-25,40.0,0.0,0.04,10.1
1997-03-26,48.0,0.0,0.0,13.9
1997-03-27,61.0,0.0,0.0,10.0
1997-03-28,53.0,0.0,0.0,7.3
1997-03-29,44.0,0.0,0.02,4.6
1997-03-30,35.0,0.0,0.03,6.6
1997-03-31,34.0,0.0,0.0,5.6
1997-04-01,41.0,0.0,0.0,8.1
1997-04-02,56.0,0.0,0.0,8.8
1997-04-03,58.0,0.0,0.0,7.0
1997-04-04,63.0,0.0,0.0,7.6
1997-04-05,55.0,0.0,0.25,12.9
1997-04-06,44.0,0.0,0.01,22.9
1997-04-07,34.0,0.0,0.0,19.5
1997-04-08,26.0,0.0,0.0,13.3
1997-04-09,26.0,0.0,0.0,5.2
1997-04-10,32.0,0.0,0.0,5.0
1997-04-11,35.0,0.0,0.01,10.2
1997-04-12,32.0,0.0,0.33,14.8
1997-04-13,37.0,0.0,0.05,7.6
1997-04-14,43.0,0.0,0.0,6.0
1997-04-15,51.0,0.0,0.01,14.9
1997-04-16,43.0,0.0,0.01,11.1
1997-04-17,38.0,0.0,0.0,10.5
1997-04-18,37.0,0.0,0.11,2.8
1997-04-19,42.0,0.0,0.04,2.4
1997-04-20,46.0,0.0,0.08,3.8
1997-04-21,41.0,0.0,0.0,11.5
1997-04-22,41.0,0.0,0.0,13.2
1997-04-23,45.0,0.0,0.0,13.1
1997-04-24,46.0,0.0,0.0,10.1
1997-04-25,46.0,0.0,0.0,2.1
1997-04-26,51.0,0.0,0.0,5.6
1997-04-27,46.0,0.0,0.0,4.0
1997-04-28,49.0,0.0,0.0,3.9
1997-04-29,61.0,0.0,0.0,13.9
1997-04-30,50.0,0.0,1.07,12.1
1997-05-01,48.0,0.0,0.0,12.6
1997-05-02,45.0,0.0,0.52,9.5
1997-05-03,47.0,0.0,0.03,8.0
1997-05-04,50.0,0.0,0.0,6.7
1997-05-05,58.0,0.0,0.09,13.3
1997-05-06,54.0,0.0,0.0,10.1
1997-05-07,46.0,0.0,0.22,12.5
1997-05-08,58.0,0.0,0.07,11.6
1997-05-09,48.0,0.0,0.0,16.1
1997-05-10,48.0,0.0,0.0,2.9
1997-05-11,60.0,0.0,0.0,18.1
1997-05-12,49.0,0.0,0.0,8.8
1997-05-13,41.0,0.0,0.0,5.7
1997-05-14,47.0,0.0,0.16,5.0
1997-05-15,45.0,0.0,0.02,11.8
1997-05-16,44.0,0.0,0.03,5.2
1997-05-17,41.0,0.0,0.0,8.3
1997-05-18,47.0,0.0,0.06,4.1
1997-05-19,52.0,0.0,0.0,10.1
1997-05-20,48.0,0.0,0.0,8.7
1997-05-21,45.0,0.0,0.0,3.5
1997-05-22,44.0,0.0,0.0,6.0
1997-05-23,52.0,0.0,0.0,6.0
1997-05-24,58.0,0.0,0.04,4.4
1997-05-25,46.0,0.0,0.0,18.2
1997-05-26,46.0,0.0,0.0,14.8
1997-05-27,52.0,0.0,0.0,13.7
1997-05-28,56.0,0.0,0.39,11.5
1997-05-29,56.0,0.0,0.32,7.7
1997-05-30,60.0,0.0,0.0,8.0
1997-05-31,54.0,0.0,0.0,7.8
1997-06-01,58.0,0.0,0.0,11.6
1997-06-02,57.0,0.0,0.0,13.3
1997-06-03,58.0,0.0,0.0,7.3
1997-06-04,59.0,0.0,0.0,3.8
1997-06-05,60.0,0.0,0.22,4.2
1997-06-06,57.0,0.0,0.09,4.6
1997-06-07,55.0,0.0,0.0,4.4
